text,label
"😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂 ngeeek....tadiknya,mau doakan g jadi deh..biar jadi pelajaran.... buat kapolri tindak tegas gercap..hapus judi on line..meresahkn",1
TheBaGuSs..._Kesayagann_@RMASLOT❤️,1
"ahh pak yg bner pak,,, ayok donk pak kasih contoh 1x ajha pecat anggota yg terlibat kegiatan perjudian",1
panasss pak cuss lanjutkan acara,0
"para penjudi online sudah karna diri nya sendiri yang nya dipakai depo trus
lah bapak ambil masukan malah bikin susah orng lain yg bajar pajak cape Cape malah bantu si penjudi",1
mau kesitu tapi besok sekolah,0
ak bakalan tunggu di sini buat liat wayang,0
cuan lagi,1
Pertanya’an nya kenapa stitus judi online di loloskan di indonesia🤔,1
Dijamin akan makin banyak yg main judi online karna udah ada jaminan bansos🤣🤣🤣🤣🤣🤣,1
gwlem seblak mu rak,0
"sebenernya pemain slot dah tau kalau mereka ngga bakalan menang cuman banyak yg ngeyel ""kali aja skrang dapet, siapa tau lagi baik"" wkwkwk",1
aku daftar bu bansos bu saya juga korban judi,1
slot laknat,0
horeeeeeeee,0
kok lama buwanget,0
Jakarta juga dulu berkat ali sadikin bikin casino🤭,1
wes persiapan tepat sampah rung iki,0
akuu pengen es teh,0
suine puolllll,0
aku kalo kakak ku udh pulang jam 7 nonton jam segitu masih bisa ora min,0
"serius nanya, itu yg donate/bandar judinya gimana?
dibiarin aja kah?
kenapa para streamer yg dikejar?",1
judi memg bahaya,1
wah njelei bgt slot judol ki ngrusak mripat wae,0
sek spam pantate dadi rgb,0
sugeng ambal warso jogja kaping 268jogja istimewanyimak saking jogja bagian barat,0
era alm presiden Suharto judi legal .nama tebak angka yaitu SDSB LOTREY NAMA NYA.rakyat malah gak ada yg miskin .malah barang sembako murah meriah,1
"memang faktanya ini,makanya admin judi anggap polisi hanya boneka saja kaleee",1
info link gacor 😭🤣,1
depo 20rbu rungkad.bonus nya 8blan pnjara..😅,1
penuhhhhb,0
textgreengameovertextgreengameovertextgreengameovertextgreengameovertextgreengameovertextgreengameovertextgreengameover,0
menyala kemantren gedongtengen,0
"lucu,,togel yg jelas2 terang benderang jualan di jlan mlah gk di tangkep,bedanya apa sma slot,,kn sma2 judi",1
"gak bakal bisa polisi tidak terlibat dalam perjudian, meraka malah ada yang menjadi backingan perjudian, tajen (sambung ayam) malahan ada oknum polisi ikut bermain... tidak akan bisa menyetop itu",1
laporkan ga si,0
wwkwk wes plg bnr nonton ko hp wae malah enek le golek toilet keliling barang,0
meriah sekali,0
"admin slot nya ..
pasti ketawa 😂😂😂",1
fokus streaming wjnc  fokus moco komenan dagelan,0
sing iklan slot tak dongake raiso ngising,0
Kemenangan seorang penjudi adalah berhenti bermain judi...!!!!!,1
iso cod ra es teh e,0
ndelok neng kene ra resiko mambu kelek to mas nek kepoyoh ra bingung le mundur wkwkwk,0
atas nama kak yanto,0
org korupsi disamakan sama org yg di sawer situs judi😂,1
min komen nya ganti mode subscriber aja,0
menyalanya sampe wonosari ini,0
selamat membumi dan mendunia untuk kota jogja istimewa jogja selalu ngangenin semoga ayem tentrem nggih  gandamana komenmanisewjnc wjnc9 wjnc2024 pariwisatajogjakota ken hutkotajogja268,0
Ingat pak judi haram,1
gak ada yg nyari siapa itu pemilik judi online tersebut kah?,1
dirgahayu jogja 268thmemang istimewafaceredheartshape,0
tutup judi onlen nya ndrooo,1
lagi2 judi slot,1
serlok aisah,0
sabar ok,0
bnyak angota polisi dan TNI yg main slot jg bg. coba razia hp di kapores secara2 tiba2,1
di tv udh mulai lagi kok disini blm,0
"kalau penjudi nya suami, isteri dan anak nya, jadi siapa yg akan dikasih Bansos",1
saya gk suka judi lo broo,1
"blok situs judi, nggak bisa kerja, ya mundur blok",1
judi mau online atau offline intinya merusaakkk,1
eh salah maksudnya 268,0
selamat ulang tahun kak untuk rafaellio,0
ayo pakk gage lekasiiiiii,0
pragmatik lagi gacorrrr boskuh😂😂,1
hapus judi online,0
wih ada semua keluarga ku,0
"semoga pak Jokowi
blokir judi alhadulila blokir aja pak judi onle pak blokir aja pak",1
lagu nya enak banget,0
gedang goreng mesti eneng nong kono,0
"kebijakan Ini jelas2 dpt apresiasi dr Dewa Judi, di ksh 4 jempol 😁",1
gw kenal sama yg nmnya slot dari 2019 smp 2020 satu tahun bhkan sampe bratakan rumah tngga slaha gw dngern poscast yg koh Denis Alhamdulill bisa stop,1
@Mira Hayati @dhn @Okkay ini pak bandar judi nya 😂,1
"cepu in yg lainnya juga seru nih, bnyk bgt anjir selebgram ba judi onlen",1
malas nonton rame ra ketok,0
Memberantas bandar judi itu sepertinya tidak jauh berbeda dengan memberantas bandar narkoba. Tau lah kan gimana nya 🗿,1
mas ten mriku nopo enten seng dodol arum manis mas,0
"maka.a gak jdi di brantas krna cuan nya emezing
klo di berantas rugi donk😅😅😅",1
situs judi di blok kan aman negara',1
apik iki ono konsep e,0
n3gara konoha tdk sanggup tangkap bandar judi ..terpaksa rakyatnya jd incaran,1
happy birthday jogjaku semoga selalu dihati,0
baguss tapi desek desekanfacepurplecryingfacepurplecrying,0
pasukan turah turah kuota nonton live,0
bandar nya yg di tangkep ...kalo sudah gk ada situs mana mungkin masyarakat bisa main judi online,1
mbok tulung le shootingane,0
meteorwin mohh,0
too yantooo,0
yg lain mana,0
"menangani Judi online number one
menangani korupsi membangongkan negara²😁😁",1
tetangga gua noh ada tapi ga pernah ada yang nyiduk kalo pada menang ntr yg ngituin judinya dapet 50% wkwkkw,1
kapan judi online di hapus total,1
"gembong nya yang mesti di tutup,baru gx ada judi onlen",1
ndelok seko omah paling weeldripada suk sukan,0
iya mungkin rakyatmu tidak berjudi joko tapi make pinjol,1
es teh jumbo,0
yang iklan judi online ingat mati bisa kapan aja,0
karena pajak judi sangat besar,1
morning kawan kawan,0
"jika judol itu di larang, apakah slot mpl tidak disamakan judi, karna masuk make duit menang dapet duit",1
umbol harjo wes rong,0
di surung ben metu,0
tara ft betull kak,0
"bravo polres banyumas...
tumpas abis Perjudian...",1
mumet ndelokke dronne mas bro,0
dah join bandar judi sama pemerintah kali,1
judollll,0
ini permainan pemerintah dan bandar judi,1
yg judi ini merugikan negara atau bagi mana ..??,1
siap berjudi ini mah.. 👍,1
bandar judi online ketawa bahagia dengar org ini ngomong...,1
gacorr,0
kampung ku itu sumatra barat,0
yang komen pafa penjudi semua,1
beautifuly,0
penontone mbludaak,0
pantas gue nggak WD WD. ternyata uda di WD sama negara 😅😅,1
jogja memang istimewa banyak anak muda kreatif maju terus jogjaku selalu istinewa,0
tinggal nulis judi,1
"lumayan pajak dari judi online,,,,",1
bar iki gong,0
eh cangkeman ngomong nya mbak watik,0
termasuk rekening anggota polri dan TNi juta ya pak. karna pemain judi online bukan hanya d kalangan sipil,1
